series_id,year,period,period_name,value
CEU0000000001,2024,M10,October,160007.0
CEU0000000001,2024,M09,September,159181.0
CEU0000000001,2024,M08,August,158731.0
CEU0000000001,2024,M07,July,158399.0
CEU0000000001,2024,M06,June,159341.0
CEU0000000001,2024,M05,May,158842.0
CEU0000000001,2024,M04,April,158001.0
CEU0000000001,2024,M03,March,157210.0
CEU0000000001,2024,M02,February,156551.0
CEU0000000001,2024,M01,January,155432.0
CEU0000000001,2023,M12,December,158269.0
CEU0000000001,2023,M11,November,158347.0
CEU0000000001,2023,M10,October,157878.0
CEU0000000001,2023,M09,September,156845.0
CEU0000000001,2023,M08,August,156355.0
CEU0000000001,2023,M07,July,155981.0
CEU0000000001,2023,M06,June,156842.0
CEU0000000001,2023,M05,May,156132.0
CEU0000000001,2023,M04,April,155201.0
CEU0000000001,2023,M03,March,154253.0
CEU0000000001,2023,M02,February,153817.0
CEU0000000001,2023,M01,January,152688.0
CEU0000000001,2022,M12,December,155211.0
CEU0000000001,2022,M11,November,155519.0
CEU0000000001,2022,M10,October,154936.0
CEU0000000001,2022,M09,September,153730.0
CEU0000000001,2022,M08,August,153208.0
CEU0000000001,2022,M07,July,152813.0
CEU0000000001,2022,M06,June,153175.0
CEU0000000001,2022,M05,May,152264.0
CEU0000000001,2022,M04,April,151434.0
CEU0000000001,2022,M03,March,150411.0
CEU0000000001,2022,M02,February,149606.0
CEU0000000001,2022,M01,January,147932.0
LNS14000000,2024,M10,October,4.1
LNS14000000,2024,M09,September,4.1
LNS14000000,2024,M08,August,4.2
LNS14000000,2024,M07,July,4.3
LNS14000000,2024,M06,June,4.1
LNS14000000,2024,M05,May,4.0
LNS14000000,2024,M04,April,3.9
LNS14000000,2024,M03,March,3.8
LNS14000000,2024,M02,February,3.9
LNS14000000,2024,M01,January,3.7
LNS14000000,2023,M12,December,3.7
LNS14000000,2023,M11,November,3.7
LNS14000000,2023,M10,October,3.8
LNS14000000,2023,M09,September,3.8
LNS14000000,2023,M08,August,3.8
LNS14000000,2023,M07,July,3.5
LNS14000000,2023,M06,June,3.6
LNS14000000,2023,M05,May,3.7
LNS14000000,2023,M04,April,3.4
LNS14000000,2023,M03,March,3.5
LNS14000000,2023,M02,February,3.6
LNS14000000,2023,M01,January,3.4
LNS14000000,2022,M12,December,3.5
LNS14000000,2022,M11,November,3.6
LNS14000000,2022,M10,October,3.6
LNS14000000,2022,M09,September,3.5
LNS14000000,2022,M08,August,3.6
LNS14000000,2022,M07,July,3.5
LNS14000000,2022,M06,June,3.6
LNS14000000,2022,M05,May,3.6
LNS14000000,2022,M04,April,3.7
LNS14000000,2022,M03,March,3.6
LNS14000000,2022,M02,February,3.8
LNS14000000,2022,M01,January,4.0
